품   목,항   목,규  격
액상포도당(G-60),DE,96 ↑
액상포도당(G-60),pH,4~7
액상포도당(G-60),"당함량
(HPLC)",DP1
액상포도당(G-60),"당함량
(HPLC)",DP2
액상포도당(G-60),"당함량
(HPLC)",DP3+
이온물엿,수분,18% ↓
이온물엿,DE,40~44
이온물엿,pH,4.5~7
아이스당,수분,25% ↓
아이스당,DE,40~44
아이스당,pH,4.5~7
고감미물엿82,수분,18% ↓
고감미물엿82,DE,42~48
고감미물엿82,pH,4.5~7
맥아물엿,수분,18% ↓
맥아물엿,,25% ↓
맥아물엿,Mal.함량,50 ↑
맥아물엿,,55 ↑
맥아물엿,pH,4.5~7
맥아아이스당,수분,18% ↓
맥아아이스당,,25% ↓
맥아아이스당,Mal.함량,50 ↑
맥아아이스당,,55 ↑
맥아아이스당,pH,4.5~7
썬하이말토스,Bx,82 ↑ / 75 ↑
썬하이말토스,Mal.함량,70 ↑
썬하이말토스,pH,4.5~7
저감미물엿,수분,30% ↓
저감미물엿,DE,20~24
저감미물엿,pH,4.5~7
제네덱스,수분,10% ↓
제네덱스,DE,17~19.9
제네덱스,pH,4.5~7
제네덱스12,수분,10% ↓
제네덱스12,DE,10 ~ 14
제네덱스12,pH,4.5~7
이소말토올리고당,수분,25% ↓
이소말토올리고당,올리고당 함량,50 ↑
이소말토올리고당,pH,4.5~7
올리고파우더BUP,수분,10%↓
올리고파우더BUP,올리고당 함량,14 ↑
올리고파우더BUP,DE,25~30
올리고파우더BUP,pH,4.5~7
올리고파우더,수분,7%↓ 
올리고파우더,올리고당 함량,14 ↑
올리고파우더,DE,25~30
올리고파우더,pH,4.5~7
썬올리고L500,수분,25% ↓
썬올리고L500,올리고당 함량,57 ↑
썬올리고L500,pH,4.5~7.0
말토올리고당G4,수분,30% ↓
말토올리고당G4,올리고당 함량,58 ↑
말토올리고당G4,pH,4.5~7
과당55,Bx,75% ↑
과당55,Oligo당,6% ↓
과당55,pH,4.5~6.5
,,
,,
